[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.wood.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/items.primitive.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/materials.primitive.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/sounds.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/space_general/items.space.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/space_general/materials.rockets.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/stone_types/blocks.rocks.js in 0.004 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/stone_types/items.rocks.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/stone_types/materials.rocks.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/stone_types/tag_prefixes.rocks.js in 0.004 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/tag_prefixes.js in 0.005 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/venus/blocks.venus_deco.js in 0.008 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/venus/materials.venus.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/blocks.earth_deco.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/fauna.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/items.wood.js in 0.001 s
[20:15:02] [INFO] tfg/worldgen/register_climates.js#4: Loaded Java class 'net.dries007.tfc.util.calendar.ICalendar'
[20:15:02] [INFO] tfg/worldgen/register_climates.js#5: Loaded Java class 'net.dries007.tfc.world.chunkdata.LerpFloatLayer'
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/register_climates.js in 0.033 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/rock_layers.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/worldgen/utility.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/stone_types/constants.rocks.js in 0.05 s
[20:15:02] [INFO] Loaded script startup_scripts:ad_astra/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:ae2/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:afc/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:arthropocolypse/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:beneath/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:computer_craft/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:crafting_station/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:create_connected/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:domum_ornamentum/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:firmalife/constants.js in 0.0 s
